factor_key,factor,timing,bucket,split,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Normal 0.75–1.25,Holdout 2025–26,264,0.29545454545454547,8.837121212121213,2333.0,1.190511187326474,1.1430496116658742,1805.0,-1797.0,0.9670251663924387
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,High ≥1.25,Holdout 2025–26,389,0.2982005141388175,1.7776349614395888,691.5,1.0331305097738597,0.9959613409281912,-86.5,-3713.5,0.31591519697486625
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,Unavailable,Holdout 2025–26,9,0.5555555555555556,50.55555555555556,455.0,1.834862385321101,1.790235081374322,437.0,-424.0,0.9714244248581791
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Low <0.75,Overall,1339,0.20388349514563106,2.3110530246452576,3094.5,1.0763084889957462,1.0097569546120058,416.5,-1750.0,0.40723092508006475
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Normal 0.75–1.25,Overall,1387,0.2516222062004326,7.2599134823359766,10069.5,1.2038360323886639,1.141716605639138,7295.5,-3131.0,0.9088048540357756
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,High ≥1.25,Overall,1170,0.24957264957264957,-0.5123931623931623,-599.5,0.9881798554767984,0.9439849838977076,-2939.5,-5541.5,-0.038230880805682516
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Unavailable,Overall,19,0.15789473684210525,-6.5,-123.5,0.7865168539325843,0.7354627354627354,-161.5,-273.0,-0.14262445506430566
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Low <0.75,Train 2019–22,692,0.1893063583815029,1.2969653179190752,897.5,1.04747923610009,0.9757077944774555,-486.5,-1750.0,0.29149605801035816
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Normal 0.75–1.25,Train 2019–22,647,0.241112828438949,5.479134466769707,3545.0,1.1676638210324686,1.1017286182352277,2251.0,-1799.0,0.6543249973138495
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,High ≥1.25,Train 2019–22,592,0.22297297297297297,-6.527027027027027,-3864.0,0.842712637127796,0.8019498989740471,-5048.0,-5541.5,-0.95963327668074
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Unavailable,Train 2019–22,19,0.15789473684210525,-6.5,-123.5,0.7865168539325843,0.7354627354627354,-161.5,-273.0,-0.20186771818551238
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Low <0.75,Validation 2023–24,348,0.1925287356321839,3.7399425287356323,1301.5,1.140954134401906,1.0618077884958914,605.5,-1507.0,0.6238795876556121
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Normal 0.75–1.25,Validation 2023–24,408,0.21323529411764705,6.491421568627451,2648.5,1.2069868313078818,1.136356871791056,1832.5,-3131.0,0.9808968728415556
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,High ≥1.25,Validation 2023–24,293,0.24914675767918087,7.959044368600683,2332.0,1.2271576076368595,1.1630785037126978,1746.0,-1466.5,0.9874553952161227
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Unavailable,Validation 2023–24,0,,,0.0,,,0.0,,
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Low <0.75,Holdout 2025–26,299,0.2508361204013378,2.9949832775919734,895.5,1.0721246778350515,1.0231265547263682,297.5,-949.5,0.42094249806077433
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Normal 0.75–1.25,Holdout 2025–26,332,0.3192771084337349,11.674698795180722,3876.0,1.2506952978461936,1.2018475460315465,3212.0,-1568.5,1.2746241396615894
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,High ≥1.25,Holdout 2025–26,285,0.30526315789473685,3.2719298245614037,932.5,1.0586994838222334,1.0222638496499201,362.5,-2000.0,0.5898381208661667
prior_5m_rvol,Prior completed 5m RVOL,Latest fully completed 5-minute bar.,Unavailable,Holdout 2025–26,0,,,0.0,,,0.0,,
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Low <0.75,Overall,953,0.18782791185729275,0.5099685204616999,486.0,1.0172972203438089,0.9521079258010118,-1420.0,-2281.0,0.07445036038522851
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Normal 0.75–1.25,Overall,1978,0.24115267947421637,3.846056622851365,7607.5,1.1097454540208744,1.0504887795030626,3651.5,-2796.0,0.6186686767943418
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,High ≥1.25,Overall,925,0.2637837837837838,3.6054054054054054,3335.0,1.0798754565594875,1.034441171695619,1485.0,-2859.0,0.45493675265045336
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Unavailable,Overall,59,0.288135593220339,17.161016949152543,1012.5,1.4866618601297765,1.4132594132594132,894.5,-424.0,0.32632364688801035
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Low <0.75,Train 2019–22,513,0.17738791423001948,-1.067251461988304,-547.5,0.9605703791725181,0.8932025655818373,-1573.5,-2281.0,-0.18155073884886716
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Normal 0.75–1.25,Train 2019–22,901,0.2297447280799112,1.298002219755827,1169.5,1.0396521326371466,0.9795188135483454,-632.5,-2796.0,0.17669757267611363
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,High ≥1.25,Train 2019–22,491,0.23014256619144602,-1.4236252545824848,-699.0,0.9658207422619921,0.9207411947758027,-1681.0,-2859.0,-0.12639316485768506
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Unavailable,Train 2019–22,45,0.24444444444444444,11.822222222222223,532.0,1.390889052167524,1.3093072078376486,442.0,-411.0,0.07114035825919814
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Low <0.75,Validation 2023–24,236,0.17796610169491525,4.625,1091.5,1.188092366017577,1.100048449612403,619.5,-709.0,0.6490923002469092
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Normal 0.75–1.25,Validation 2023–24,605,0.2231404958677686,6.307438016528925,3816.0,1.2077243406548543,1.1349420049710024,2606.0,-2747.0,1.1970566989203084
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,High ≥1.25,Validation 2023–24,203,0.2413793103448276,6.645320197044335,1349.0,1.1697495910406444,1.11422687905033,943.0,-781.0,0.7856578620040278
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Unavailable,Validation 2023–24,5,0.2,5.1,25.5,1.146131805157593,1.084931506849315,15.5,-90.0,0.07972766782074527
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Low <0.75,Holdout 2025–26,204,0.22549019607843138,-0.28431372549019607,-58.0,0.9931022179936968,0.9465871969740386,-466.0,-1126.0,0.02560686926199224
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Normal 0.75–1.25,Holdout 2025–26,472,0.2860169491525424,5.555084745762712,2622.0,1.1222092752272197,1.0758280988747797,1678.0,-2034.5,0.7806019162231671
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,High ≥1.25,Holdout 2025–26,231,0.354978354978355,11.623376623376624,2685.0,1.2010558238795912,1.1628273210034792,2223.0,-1250.0,1.168733534611236
prior_session_cum_rvol,Prior session-cumulative RVOL,Session volume through the minute before touch.,Unavailable,Holdout 2025–26,9,0.5555555555555556,50.55555555555556,455.0,1.834862385321101,1.790235081374322,437.0,-424.0,0.9714244248581791
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Low <0.75,Overall,362,0.2154696132596685,3.7886740331491713,1371.5,1.1310872162485066,1.0586955536418439,647.5,-1397.5,0.3254613029600007
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Normal 0.75–1.25,Overall,800,0.23,4.96875,3975.0,1.1542850489054495,1.087951561834577,2375.0,-1597.5,0.5878004065623965
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,High ≥1.25,Overall,2733,0.2385656787413099,2.647639956092206,7236.0,1.0692927561490617,1.016299993553675,1770.0,-5208.5,0.49950013926798287
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Unavailable,Overall,20,0.15,-7.075,-141.5,0.7627829002514669,0.7121332275971451,-181.5,-291.0,-0.16314623748184004
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Low <0.75,Train 2019–22,184,0.1793478260869565,-3.739130434782609,-688.0,0.8702743471292542,0.8116135937918116,-1056.0,-1397.5,-0.2964073652178679
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Normal 0.75–1.25,Train 2019–22,390,0.2282051282051282,4.874358974358974,1901.0,1.173869300772854,1.0971277563574926,1121.0,-936.0,0.6629188772990164
