timeframe,trades,wins,losses,win_rate,avg_points,total_points,avg_r,total_pnl,avg_pnl,profit_factor,max_drawdown,avg_mfe_points,avg_mae_points
1h,318,103,215,0.3238993710691824,-2.255503144654088,-717.25,-0.01957400358627959,-1434.5,-4.511006289308176,0.9306988091499795,-2847.5,51.999213836477985,46.089622641509436
4h,102,38,64,0.37254901960784315,5.504901960784314,561.5,0.0902983343400298,1123.0,11.009803921568627,1.1098288508557457,-2709.5,90.42156862745098,71.47549019607843
Daily,26,7,19,0.2692307692307692,-29.75,-773.5,-0.3024038461538462,-1547.0,-59.5,0.5780141843971631,-1744.5,105.97115384615384,90.61538461538461
