exit_reason,trades,wins,losses,win_rate,avg_points,total_points,avg_r,total_pnl,avg_pnl,profit_factor,max_drawdown,avg_mfe_points,avg_mae_points
stop,287,0,287,0.0,-58.82142857142857,-16881.75,-1.0,-33763.5,-117.64285714285714,0.0,-33763.5,31.972996515679444,67.62108013937282
target,120,120,0,1.0,124.16666666666667,14900.0,2.2094928111578014,29800.0,248.33333333333334,,0.0,134.49166666666667,27.220833333333335
timed_close,39,28,11,0.717948717948718,26.987179487179485,1052.5,0.43549383649512774,2105.0,53.97435897435897,3.5453446191051996,-285.5,82.01923076923077,41.77564102564103
