variant,status,overall_trades,overall_profit_factor,overall_sharpe,overall_pnl,train_profit_factor,validation_profit_factor,holdout_profit_factor,holdout_sharpe,holdout_sortino,holdout_pnl,holdout_trades,holdout_profitable_months,train_ci_low,validation_ci_low,holdout_ci_low,holdout_ci_high
SND baseline,control,6475,0.9086195293332132,-0.9445197797789395,-34489.0,0.8748980925413076,0.9547379893369466,0.92002775576444,-0.8796898916233246,-1.2039765231990796,-10545.5,1758,0.38095238095238093,-5.8726871994274035,-3.6479447657425332,-6.346594963245412,0.18523559011518725
1h reference,promising full simulation,5943,0.9852938683004301,-0.05563032581099351,-3903.0,0.9211327332327385,1.0726174463414835,1.0088441683241334,0.33831340714207664,0.5110356951947669,791.5,1531,0.42857142857142855,-3.4883616221513876,-1.212258873683099,-2.395511878850144,2.9059485441209154
1h · no BOS,promising full simulation,4340,1.0129042584604855,0.20362180590134876,2338.0,0.9812989769440328,1.0764859190617535,1.009820242344693,0.2012644535553934,0.31801326982911327,613.5,1114,0.42857142857142855,-2.3961900331754222,-1.6995185335832774,-3.2591774784861256,3.7974945584154067
1h · RVOL 0.75–1.25,promising full simulation,2941,1.0382771526699155,0.3453277899768921,4842.5,0.950922040282692,1.1809289735456765,1.0498387850747342,0.5197678990291486,0.8831766366199165,2079.0,745,0.5238095238095238,-3.9170970556488056,-0.7564242046462564,-2.344961031645677,5.113087687567217
1h · impulse/prior volume <0.75,positive all periods; uncertainty remains,1204,1.1151051321959295,0.54936690316442,5805.5,1.019161545215101,1.4276062681805386,1.0477661107679637,0.4193556579503932,0.6888605595950912,812.0,302,0.5238095238095238,-3.9542379958915506,1.365910506760532,-7.923002581805523,10.465243681726141
1h · first SND test,promising full simulation,5084,1.047263396038704,0.5538926953110295,9881.5,0.9989180533616082,1.1083757696286698,1.0685918957923624,0.9669052344099573,1.4690307206519728,4586.5,1233,0.5238095238095238,-2.01834143123681,-0.26576482522226036,-1.8399975627107925,5.826209381211648
1h · first physical touch,positive all periods; uncertainty remains,4854,1.0576494322672194,0.6366226753638676,11416.0,1.0228113404619974,1.0711554552868778,1.0947524251042113,1.2232765341187408,1.8915374331941615,6080.5,1193,0.5714285714285714,-1.5161095593741778,-0.9428987339979935,-1.1150498093316537,6.237767882860063
1h · width ≤0.5 ATR,promising full simulation,3427,1.0810417189445043,0.6143109570375151,8235.5,0.9050150405290592,1.204698275862069,1.2186025837718482,1.848994021492265,3.713964710089823,7623.0,875,0.7142857142857143,-3.4634703742896047,-0.0022799464388501924,0.7566366288662887,8.040296106829057
1h · opposing room ≥2R/open,promising full simulation,4971,1.0315953780762763,0.35436770973868226,6285.0,0.9495229249345605,1.164511017968109,1.052565792983606,0.7207581506318076,1.1354056174502813,3448.5,1241,0.47619047619047616,-2.85273798794156,0.3318538660795866,-2.25835179526356,4.812598854431038
