variant,full_trades,full_profit_factor,full_sharpe,full_pnl,screen_trades,screen_profit_factor,screen_sharpe,screen_pnl
SND baseline,6475.0,0.9086195293332132,-0.9445197797789395,-34489.0,6475,0.9086195293332132,-0.9445197797789396,-34489.0
1h reference,5943.0,0.9852938683004301,-0.05563032581099351,-3903.0,4522,0.98599337320883,-0.0406069021869193,-2929.5
1h · no BOS,4340.0,1.0129042584604855,0.20362180590134876,2338.0,3088,0.9932242562089584,0.0166061537818453,-923.5
1h · RVOL 0.75–1.25,2941.0,1.0382771526699155,0.3453277899768921,4842.5,2025,1.0444283898443187,0.3239804131990107,4089.5
1h · impulse/prior volume <0.75,1204.0,1.1151051321959295,0.54936690316442,5805.5,843,1.0269903419472723,0.1110209076404386,1034.0
1h · first SND test,5084.0,1.047263396038704,0.5538926953110295,9881.5,3840,1.044333250089842,0.4733234990329554,7278.5
1h · first physical touch,4854.0,1.0576494322672194,0.6366226753638676,11416.0,3469,1.0700078945812568,0.6417801963252119,10065.0
1h · width ≤0.5 ATR,3427.0,1.0810417189445043,0.6143109570375151,8235.5,2271,1.0786120607923693,0.5063912401300609,5472.5
1h · opposing room ≥2R/open,4971.0,1.0315953780762763,0.35436770973868226,6285.0,3591,1.041024657202286,0.3728152217087202,6094.5
