year,sessions,trades,net_dollars,net_points
2019,163,13,-76.8000000000001,-15.31000000000001
2020,247,13,-905.9828571428442,-188.52428571428442
2021,251,5,12.379999999999988,-6.100000000000005
2022,250,7,371.1,124.16
2023,248,12,386.74,21.060000000000002
2024,249,15,-9.979999999999976,-24.04999999999999
2025,247,11,45.088571428565245,-67.4628571428587
2026,169,5,288.29999999999995,144.14999999999998
