session,trades,wins,losses,win_rate,avg_points,total_points,avg_r,total_pnl,avg_pnl,profit_factor,max_drawdown,avg_mfe_points,avg_mae_points
Asia,1996,473,1523,0.23697394789579157,-0.014278557114228457,-28.5,0.03035640401492112,-57.0,-0.028557114228456915,0.9994624137622077,-6122.0,50.77041583166333,35.79734468937876
London,1719,421,1298,0.24490983129726585,-0.7531995346131471,-1294.75,0.008483274819202927,-2589.5,-1.5063990692262943,0.9728002268836066,-6275.0,52.495346131471784,38.02792321116929
New York,2760,882,1878,0.31956521739130433,-5.76856884057971,-15921.25,-0.059261649879039334,-31842.5,-11.53713768115942,0.8192712959625857,-34349.5,49.51231884057971,45.51657608695652
