entry_year,trades,wins,losses,win_rate,avg_points,total_points,avg_r,total_pnl,avg_pnl,profit_factor,max_drawdown,avg_mfe_points,avg_mae_points
2019,446,101,345,0.226457399103139,-0.6306053811659192,-281.25,-0.05506642731470808,-562.5,-1.2612107623318385,0.9473240623683101,-2279.5,25.657511210762333,17.082959641255606
2020,846,232,614,0.27423167848699764,-0.6456855791962175,-546.25,-0.07278056755401664,-1092.5,-1.291371158392435,0.9759252525920294,-3317.0,48.913711583924346,37.34456264775414
2021,789,185,604,0.23447401774397972,-3.8567807351077312,-3043.0,-0.05626900086104399,-6086.0,-7.7135614702154625,0.8457737288242971,-7856.0,44.36787072243346,34.606463878327
2022,945,263,682,0.2783068783068783,-6.54021164021164,-6180.5,-0.06624276404543299,-12361.0,-13.08042328042328,0.8103137396321674,-12553.5,54.49867724867725,46.966402116402115
2023,864,209,655,0.24189814814814814,-0.7569444444444444,-654.0,0.1015121889602615,-1308.0,-1.5138888888888888,0.9669588501275671,-3996.0,44.50434027777778,31.56539351851852
2024,827,223,604,0.26964933494558646,-1.5317412333736398,-1266.75,0.007262908758897773,-2533.5,-3.0634824667472795,0.9440549403230615,-7250.5,51.37031438935913,38.79987908101572
2025,957,273,684,0.2852664576802508,-5.698275862068965,-5453.25,-0.040567459200246916,-10906.5,-11.39655172413793,0.8391940905874027,-13423.5,56.24921630094044,48.964211076280044
2026,801,290,511,0.3620474406991261,0.22534332084893882,180.5,0.062234357361499924,361.0,0.45068664169787764,1.0056370577993614,-4761.0,67.58302122347067,56.589575530586764
