timeframe,trades,wins,losses,win_rate,avg_points,total_points,avg_r,total_pnl,avg_pnl,profit_factor,max_drawdown,avg_mfe_points,avg_mae_points
1h,4522,1200,3322,0.26536930561698363,-0.32391640866873067,-1464.75,0.006963377772526203,-2929.5,-0.6478328173374613,0.98599337320883,-9984.0,42.538202122954445,32.74823087129589
4h,1554,447,1107,0.2876447876447876,-4.6282175032175035,-7192.25,-0.014342389909717937,-14384.5,-9.256435006435007,0.8851660699245989,-17597.0,67.43629343629344,54.33092020592021
Daily,399,129,270,0.3233082706766917,-21.522556390977442,-8587.5,-0.24458231129277683,-17175.0,-43.045112781954884,0.6006510492355984,-18458.0,77.88847117794487,75.01127819548873
