variant,round_trip_cost_ticks,profit_factor,total_pnl,sharpe,max_drawdown
Sarah baseline,0,0.9086195293332132,-34489.0,-0.9445197797789395,-38797.5
Sarah baseline,1,0.9006601329218584,-37726.5,-1.0446550256945568,-41793.5
Sarah baseline,2,0.8927989155324333,-40964.0,-1.1446805011106675,-44789.5
Sarah baseline,4,0.8773636242604889,-47439.0,-1.3443898901652762,-50781.5
First physical touch core,0,1.0576494322672194,11416.0,0.6366226753638676,-3635.0
First physical touch core,1,1.0449832357503879,8989.0,0.5213707530121107,-3872.0
First physical touch core,2,1.0325437917832132,6562.0,0.4061757015687239,-4151.5
First physical touch core,4,1.0083215388025852,1708.0,0.17597553201394375,-5445.5
First touch + width ≤0.5 ATR,0,1.0828570752428621,7002.5,0.6019715125016016,-7529.0
First touch + width ≤0.5 ATR,1,1.0643242455168391,5515.0,0.48732128704876493,-7892.5
First touch + width ≤0.5 ATR,2,1.0463133322600675,4027.5,0.37269296306515415,-8256.0
First touch + width ≤0.5 ATR,4,1.0117714822560981,1052.5,0.1435352529143947,-9142.0
First touch + impulse volume <0.75,0,1.086613575073117,3420.5,0.3673733674854835,-3138.5
First touch + impulse volume <0.75,1,1.0733604295248131,2924.0,0.31538253182232906,-3254.5
First touch + impulse volume <0.75,2,1.0603487924026402,2427.5,0.26338679781536173,-3370.5
First touch + impulse volume <0.75,4,1.0350232552461638,1434.5,0.1593926210397715,-3602.5
First touch + normal RVOL,0,1.0805013507112704,7733.0,0.5951549211182907,-3911.5
First touch + normal RVOL,1,1.0674324205835477,6537.0,0.5142719889334478,-4069.0
First touch + normal RVOL,2,1.054598611778416,5341.0,0.433385730445554,-4226.5
First touch + normal RVOL,4,1.0296124474702897,2949.0,0.2716223090755844,-4819.0
First touch + opposing room,0,1.0880781878873909,12441.0,0.7570101761203106,-4360.0
First touch + opposing room,1,1.0734395796847636,10483.5,0.6450011751973662,-4620.0
First touch + opposing room,2,1.0591053094952547,8526.0,0.533023557296202,-4880.0
First touch + opposing room,4,1.031313134742911,4611.0,0.30918574775729957,-5804.5
First touch + width + low volume,0,1.0942913577048863,1456.0,0.2737880706428497,-2153.0
First touch + width + low volume,1,1.0754476111447995,1182.0,0.22370289968008,-2220.5
First touch + width + low volume,2,1.0571374634238428,908.0,0.17360534143872353,-2292.5
First touch + width + low volume,4,1.0220298014258178,360.0,0.07339386578740797,-2436.5
Sensitivity · first touch + width ≤0.4,0,1.1226297172947528,6916.5,0.7277890197397788,-4193.0
Sensitivity · first touch + width ≤0.4,1,1.100774923510081,5780.5,0.6212220848429607,-4466.0
Sensitivity · first touch + width ≤0.4,2,1.0796388857929167,4644.5,0.5146739095860048,-4739.0
Sensitivity · first touch + width ≤0.4,4,1.0393857646814693,2372.5,0.3016703245659166,-5285.0
Sensitivity · first touch + width ≤0.6,0,1.1290061753496685,13641.5,1.028334779372374,-4170.0
Sensitivity · first touch + width ≤0.6,1,1.111081554077704,11901.0,0.9090791484972075,-4742.0
Sensitivity · first touch + width ≤0.6,2,1.0936171192960633,10160.5,0.7898410748014995,-5314.0
Sensitivity · first touch + width ≤0.6,4,1.060001347436502,6679.5,0.5514476067565999,-6458.0
Sensitivity · first touch + volume <0.5,0,1.1056334330865754,1006.0,0.1229080870769165,-1180.0
Sensitivity · first touch + volume <0.5,1,1.0915423402817488,880.5,0.09646262764456039,-1189.0
Sensitivity · first touch + volume <0.5,2,1.0777268749678284,755.0,0.07001473038454877,-1211.5
Sensitivity · first touch + volume <0.5,4,1.0508910991063765,504.0,0.017118379883903176,-1256.5
Sensitivity · first touch + volume <1.0,0,1.113476046166742,8799.5,0.6893373066461066,-2362.5
Sensitivity · first touch + volume <1.0,1,1.099885006069124,7817.5,0.6173141924671567,-2523.5
Sensitivity · first touch + volume <1.0,2,1.086541748433247,6835.5,0.5452774904239175,-2796.0
Sensitivity · first touch + volume <1.0,4,1.0605700786422554,4871.5,0.40117761366749105,-3341.0
