year,Sarah baseline,First physical touch core,First touch + width ≤0.5 ATR,First touch + impulse volume <0.75,First touch + normal RVOL,First touch + opposing room,First touch + width + low volume,Sensitivity · first touch + width ≤0.4,Sensitivity · first touch + width ≤0.6,Sensitivity · first touch + volume <0.5,Sensitivity · first touch + volume <1.0
2019,-562.5,-181.5,730.5,-186.0,442.5,-917.5,337.0,727.0,500.0,-531.0,-249.5
2020,-1092.5,442.0,-4221.0,-437.0,852.0,858.0,-863.0,-2386.0,-2247.0,393.0,-537.5
2021,-6086.0,-314.5,-2062.5,-1180.0,-1094.5,-1644.0,-780.5,-361.5,-925.0,124.0,480.5
2022,-12361.0,2030.5,1349.0,2392.0,-485.0,2158.5,862.0,1041.0,1359.5,-78.0,1598.0
2023,-1308.0,2780.5,2717.0,492.5,4011.5,5294.0,742.5,2358.0,4177.5,-317.5,-561.0
2024,-2533.5,578.5,678.5,1764.5,1442.0,988.0,-681.5,709.0,1163.5,1016.5,3903.5
2025,-10906.5,1156.5,4141.5,973.0,-1653.0,-574.0,912.0,2661.5,3676.0,143.0,484.5
2026,361.0,4924.0,3669.5,-398.5,4217.5,6278.0,927.5,2167.5,5937.0,256.0,3681.0
