month,variant,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
2026-05,Phase 6 · no RVOL filter,1,1.0,200.0,200.0,,,198.0,0.0,1.8973665961010273
2026-06,Phase 6 · no RVOL filter,51,0.5490196078431373,63.029411764705884,3214.5,2.5130618969169216,2.434001382170007,3112.5,-535.5,5.320012395785906
2026-07,Phase 6 · no RVOL filter,50,0.4,10.86,543.0,1.1650706794345644,1.1322585460516494,443.0,-1236.0,1.2521880676141168
2026-08,Phase 6 · no RVOL filter,41,0.3170731707317073,1.451219512195122,59.5,1.027337468412589,0.9899216125419933,-22.5,-1045.5,0.3930087708296821
2026-09,Phase 6 · no RVOL filter,9,0.2222222222222222,-24.166666666666668,-217.5,0.6477732793522267,0.6270783847980997,-235.5,-349.5,-0.9483969214620395
2026-05,Phase 6 + prior 5m RVOL 0.75–1.25,1,1.0,200.0,200.0,,,198.0,0.0,1.8973665961010273
2026-06,Phase 6 + prior 5m RVOL 0.75–1.25,18,0.5,43.72222222222222,787.0,1.9269729093050647,1.8662053056516725,751.0,-582.5,1.8037152566628487
2026-07,Phase 6 + prior 5m RVOL 0.75–1.25,31,0.45161290322580644,25.177419354838708,780.5,1.4214362850971922,1.3809650053022269,718.5,-714.5,1.8420579931730825
2026-08,Phase 6 + prior 5m RVOL 0.75–1.25,21,0.2857142857142857,-11.952380952380953,-251.0,0.8014240506329114,0.7735703245749613,-293.0,-854.0,-0.8924501020932114
2026-09,Phase 6 + prior 5m RVOL 0.75–1.25,5,0.4,17.9,89.5,1.288244766505636,1.2511848341232228,79.5,-173.0,0.45165086009459154
