variant,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
Phase 6 · no RVOL filter,152,0.42105263157894735,24.99671052631579,3799.5,1.4629020467836258,1.4169250954198473,3495.5,-1944.0,4.3162228868245265
Phase 6 + prior 5m RVOL 0.75–1.25,76,0.42105263157894735,21.13157894736842,1606.0,1.3756285814524618,1.333218746419159,1454.0,-1568.5,2.3211606904287643
