split,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
Overall,3915,0.23422733077905492,3.1777777777777776,12441.0,1.0880781878873909,1.031313134742911,4611.0,-4360.0,0.7570101761203106
Train 2019–22,1950,0.2164102564102564,0.23333333333333334,455.0,1.0069794375033554,0.9495263979136601,-3445.0,-4360.0,-0.0250354280099777
Validation 2023–24,1049,0.2163965681601525,5.9885605338417545,6282.0,1.194519275429633,1.1232691061222084,4184.0,-2421.5,1.5574561696135012
Holdout 2025–26,916,0.2925764192139738,6.22707423580786,5704.0,1.1303384137284922,1.0859317783350717,3872.0,-2234.5,1.3476538900359654
