entry_time,entry_bar_close,exit_time,quantity,entry,exit,gross_pnl,cost,net_pnl,exit_reason,initial_stop,initial_risk_usd,initial_target,gross_r,net_r,holding_minutes,exit_month,crossed_local_date,source_minutes_in_entry_day_flatten_window,direction
2025-01-06T09:50:00-05:00,2025-01-06T09:50:00-05:00,2025-01-06T18:46:00+00:00,1,21829.75,21723.5,-2125.0,12.5,-2137.5,stop,21723.5,2125.0,22042.25,-1.0,-1.0058823529411764,236.0,2025-01,False,15,Long
2025-01-08T10:05:00-05:00,2025-01-08T10:05:00-05:00,2025-01-08T15:13:00+00:00,1,21387.75,21289.75,-1960.0,12.5,-1972.5,stop,21289.75,1960.0,21583.75,-1.0,-1.0063775510204083,8.0,2025-01,False,15,Long
2025-01-13T09:55:00-05:00,2025-01-13T09:55:00-05:00,2025-01-13T15:50:00-05:00,1,20808.75,20898.25,1790.0,12.5,1777.5,force-flat window,20702.0,2135.0,21022.25,0.8384074941451991,0.832552693208431,355.0,2025-01,False,15,Long
2025-01-22T09:50:00-05:00,2025-01-22T09:50:00-05:00,2025-01-22T15:50:00-05:00,1,21986.75,22012.5,515.0,12.5,502.5,force-flat window,21902.5,1685.0,22155.25,0.3056379821958457,0.29821958456973297,360.0,2025-01,False,15,Long
2025-01-23T10:35:00-05:00,2025-01-23T10:35:00-05:00,2025-01-23T15:50:00-05:00,1,21920.5,21973.0,1050.0,12.5,1037.5,force-flat window,21866.0,1090.0,22029.5,0.963302752293578,0.9518348623853211,315.0,2025-01,False,15,Long
2025-01-24T09:50:00-05:00,2025-01-24T09:50:00-05:00,2025-01-24T15:17:00+00:00,1,22063.5,21999.75,-1275.0,12.5,-1287.5,stop,21999.75,1275.0,22191.0,-1.0,-1.0098039215686274,27.0,2025-01,False,15,Long
2025-01-31T09:55:00-05:00,2025-01-31T09:55:00-05:00,2025-01-31T13:35:00-05:00,1,21857.25,21765.0,-1845.0,12.5,-1857.5,stop,21765.0,1845.0,22041.75,-1.0,-1.0067750677506775,220.0,2025-01,False,15,Long
2025-02-05T10:40:00-05:00,2025-02-05T10:40:00-05:00,2025-02-05T17:09:00+00:00,1,21592.5,21739.5,2940.0,7.5,2932.5,limit,21519.0,1470.0,21739.5,2.0,1.9948979591836735,89.0,2025-02,False,15,Long
2025-02-06T09:50:00-05:00,2025-02-06T09:50:00-05:00,2025-02-06T19:34:00+00:00,1,21792.75,21738.25,-1090.0,12.5,-1102.5,stop,21738.25,1090.0,21901.75,-1.0,-1.011467889908257,284.0,2025-02,False,15,Long
2025-02-10T10:05:00-05:00,2025-02-10T10:05:00-05:00,2025-02-10T15:50:00-05:00,1,21814.75,21846.75,640.0,12.5,627.5,force-flat window,21744.0,1415.0,21956.25,0.45229681978798586,0.44346289752650175,345.0,2025-02,False,15,Long
2025-02-11T10:15:00-05:00,2025-02-11T10:15:00-05:00,2025-02-11T15:50:00-05:00,1,21800.5,21780.75,-395.0,12.5,-407.5,force-flat window,21700.75,1995.0,22000.0,-0.19799498746867167,-0.20426065162907267,335.0,2025-02,False,15,Long
2025-02-14T10:10:00-05:00,2025-02-14T10:10:00-05:00,2025-02-14T15:50:00-05:00,1,22144.25,22197.75,1070.0,12.5,1057.5,force-flat window,22090.0,1085.0,22252.75,0.9861751152073732,0.9746543778801844,340.0,2025-02,False,15,Long
2025-02-17T11:05:00-05:00,2025-02-17T11:05:00-05:00,2025-02-18T09:35:00-05:00,1,22245.0,22250.25,105.0,12.5,92.5,overnight safety,22192.5,1050.0,22350.0,0.1,0.0880952380952381,1350.0,2025-02,True,0,Long
2025-02-19T11:45:00-05:00,2025-02-19T11:45:00-05:00,2025-02-19T15:50:00-05:00,1,22237.75,22223.5,-285.0,12.5,-297.5,force-flat window,22172.5,1305.0,22368.25,-0.21839080459770116,-0.22796934865900384,245.0,2025-02,False,15,Long
2025-02-26T09:50:00-05:00,2025-02-26T09:50:00-05:00,2025-02-26T13:30:00-05:00,1,21276.75,21189.0,-1755.0,12.5,-1767.5,stop,21189.0,1755.0,21452.25,-1.0,-1.0071225071225072,220.0,2025-02,False,15,Long
2025-03-28T10:05:00-04:00,2025-03-28T10:05:00-04:00,2025-03-28T14:29:00+00:00,-1,19839.5,19635.5,4080.0,7.5,4072.5,limit,19941.5,2040.0,19635.5,2.0,1.9963235294117647,24.0,2025-03,False,15,Short
2025-04-15T10:30:00-04:00,2025-04-15T10:30:00-04:00,2025-04-15T15:21:00+00:00,-1,18967.75,19086.0,-2365.0,12.5,-2377.5,stop,19086.0,2365.0,18731.25,-1.0,-1.0052854122621564,51.0,2025-04,False,15,Short
2025-04-21T09:55:00-04:00,2025-04-21T09:55:00-04:00,2025-04-21T11:35:00-04:00,-1,18055.0,17835.0,4400.0,7.5,4392.5,limit,18165.0,2200.0,17835.0,2.0,1.996590909090909,100.0,2025-04,False,15,Short
2025-04-25T09:55:00-04:00,2025-04-25T09:55:00-04:00,2025-04-25T10:10:00-04:00,-1,19255.5,19363.75,-2165.0,12.5,-2177.5,stop,19363.75,2165.0,19039.0,-1.0,-1.0057736720554273,15.0,2025-04,False,15,Short
2025-05-14T12:35:00-04:00,2025-05-14T12:35:00-04:00,2025-05-14T17:22:00+00:00,1,21412.25,21314.25,-1960.0,12.5,-1972.5,stop,21314.25,1960.0,21608.25,-1.0,-1.0063775510204083,47.0,2025-05,False,15,Long
2025-05-15T11:05:00-04:00,2025-05-15T11:05:00-04:00,2025-05-15T17:22:00+00:00,1,21361.0,21527.5,3330.0,7.5,3322.5,limit,21277.75,1665.0,21527.5,2.0,1.9954954954954955,137.0,2025-05,False,15,Long
2025-05-16T13:35:00-04:00,2025-05-16T13:35:00-04:00,2025-05-16T15:50:00-04:00,1,21472.25,21493.5,425.0,12.5,412.5,force-flat window,21388.25,1680.0,21640.25,0.25297619047619047,0.24553571428571427,135.0,2025-05,False,15,Long
2025-05-20T10:45:00-04:00,2025-05-20T10:45:00-04:00,2025-05-20T15:01:00+00:00,1,21445.0,21391.25,-1075.0,12.5,-1087.5,stop,21391.25,1075.0,21552.5,-1.0,-1.0116279069767442,16.0,2025-05,False,15,Long
2025-05-21T09:50:00-04:00,2025-05-21T09:50:00-04:00,2025-05-21T13:25:00-04:00,1,21382.25,21277.0,-2105.0,12.5,-2117.5,stop,21277.0,2105.0,21592.75,-1.0,-1.005938242280285,215.0,2025-05,False,15,Long
2025-05-22T09:55:00-04:00,2025-05-22T09:55:00-04:00,2025-05-22T15:50:00-04:00,1,21235.25,21259.25,480.0,12.5,467.5,force-flat window,21113.75,2430.0,21478.25,0.19753086419753085,0.19238683127572018,355.0,2025-05,False,15,Long
2025-05-27T10:00:00-04:00,2025-05-27T10:00:00-04:00,2025-05-27T15:50:00-04:00,1,21293.75,21426.75,2660.0,12.5,2647.5,force-flat window,21192.75,2020.0,21495.75,1.316831683168317,1.3106435643564356,350.0,2025-05,False,15,Long
2025-05-30T10:40:00-04:00,2025-05-30T10:40:00-04:00,2025-05-30T15:42:00+00:00,1,21395.0,21295.25,-1995.0,12.5,-2007.5,stop,21295.25,1995.0,21594.5,-1.0,-1.006265664160401,62.0,2025-05,False,15,Long
2025-06-03T10:05:00-04:00,2025-06-03T10:05:00-04:00,2025-06-03T15:50:00-04:00,1,21616.0,21675.5,1190.0,12.5,1177.5,force-flat window,21509.75,2125.0,21828.5,0.56,0.5541176470588235,345.0,2025-06,False,15,Long
