"strategy","status","net_pnl","max_drawdown","trades","win_rate","payoff_ratio","profit_factor","expectancy","higher_cost_pnl","delayed_pnl","september_pnl","september_trades"
"buy-hold","Benchmark","80287.5","-0.5604083947816223","1","1","","","80287.5","80275","80287.5","97.5","1"
"moving-average","Needs review","33087.5","-0.6017740952238768","93","0.24731182795698925","3.7223772493177667","1.2230668104901234","355.7795698924731","31925","38827.5","2590","2"
"multi-speed-momentum","Needs review","-55890","-1.0153375","236","0.3432203389830508","1.5979235880928284","0.8350439395839944","-236.82203389830508","-58840","-15725","-4202.5","5"
"rsi2-reversion","Conditional","43980","-0.3220655533590363","12","0.5833333333333334","2.0509216344765755","2.871290288267206","3665","43830","52560","7302.5","1"
"vwap-reversion","Needs review","47772.5","-0.35591003941571997","209","0.6794258373205742","0.5452188947026126","1.1555385529518059","228.57655502392345","45160","23897.5","2507.5","3"
"pine-overnight-block","Conditional","45175","-0.13863273356218175","172","0.563953488372093","1.0051097195044634","1.2999419038924391","262.6453488372093","43025","","-8777.5","3"
"pine-daily-tsmom","Needs review","-39127.5","-1.0416407847034774","17","0.4117647058823529","0.9406912804399057","0.658483896307934","-2301.6176470588234","-39340","","6372.5","1"
"pine-overnight-drift","Conditional","13082.5","-0.25141547456030455","69","0.5507246376811594","0.8968402666402865","1.0993525849138994","189.6014492753623","12220","","0","0"
"pine-tsmom-orb","Research candidate","11552.5","-0.11808362403771089","29","0.5517241379310345","1.1840549233052944","1.4572983671449777","398.36206896551727","11220","","-2072.5","1"
