entry_time,entry_bar_close,exit_time,quantity,entry,exit,gross_pnl,cost,net_pnl,exit_reason,initial_stop,initial_risk_usd,initial_target,gross_r,net_r,holding_minutes,exit_month,crossed_local_date,source_minutes_in_entry_day_flatten_window,direction
2026-01-02T09:50:00-05:00,2026-01-02T09:50:00-05:00,2026-01-02T15:13:00+00:00,1,25754.75,25638.25,-2330.0,12.5,-2342.5,stop,25638.25,2330.0,25987.75,-1.0,-1.0053648068669527,23.0,2026-01,False,15,Long
2026-01-06T09:50:00-05:00,2026-01-06T09:50:00-05:00,2026-01-06T15:50:00-05:00,1,25710.5,25831.25,2415.0,12.5,2402.5,force-flat window,25608.0,2050.0,25915.5,1.1780487804878048,1.171951219512195,360.0,2026-01,False,15,Long
2026-01-07T10:30:00-05:00,2026-01-07T10:30:00-05:00,2026-01-07T15:50:00-05:00,1,25866.75,25834.75,-640.0,12.5,-652.5,force-flat window,25771.0,1915.0,26058.25,-0.3342036553524804,-0.34073107049608353,320.0,2026-01,False,15,Long
2026-01-19T10:00:00-05:00,2026-01-19T10:00:00-05:00,2026-01-20T08:07:00+00:00,1,25316.0,25240.25,-1515.0,12.5,-1527.5,stop,25240.25,1515.0,25467.5,-1.0,-1.0082508250825082,1027.0,2026-01,True,0,Long
2026-01-27T09:55:00-05:00,2026-01-27T09:55:00-05:00,2026-01-27T15:50:00-05:00,1,26037.25,26098.25,1220.0,12.5,1207.5,force-flat window,25917.25,2400.0,26277.25,0.5083333333333333,0.503125,355.0,2026-01,False,15,Long
2026-03-12T09:50:00-04:00,2026-03-12T09:50:00-04:00,2026-03-12T15:50:00-04:00,-1,24736.5,24571.5,3300.0,12.5,3287.5,force-flat window,24834.5,1960.0,24540.5,1.683673469387755,1.677295918367347,360.0,2026-03,False,15,Short
2026-03-25T09:50:00-04:00,2026-03-25T09:50:00-04:00,2026-03-25T15:50:00-04:00,-1,24418.25,24344.0,1485.0,12.5,1472.5,force-flat window,24526.0,2155.0,24202.75,0.6890951276102089,0.6832946635730859,360.0,2026-03,False,15,Short
2026-03-26T11:35:00-04:00,2026-03-26T11:35:00-04:00,2026-03-26T13:55:00-04:00,-1,24063.0,23873.5,3790.0,7.5,3782.5,limit,24157.75,1895.0,23873.5,2.0,1.9960422163588392,140.0,2026-03,False,15,Short
2026-04-13T09:50:00-04:00,2026-04-13T09:50:00-04:00,2026-04-13T19:32:00+00:00,1,25271.0,25465.0,3880.0,7.5,3872.5,limit,25174.0,1940.0,25465.0,2.0,1.9961340206185567,342.0,2026-04,False,15,Long
2026-04-14T10:10:00-04:00,2026-04-14T10:10:00-04:00,2026-04-14T17:43:00+00:00,1,25758.75,25964.25,4110.0,7.5,4102.5,limit,25656.0,2055.0,25964.25,2.0,1.9963503649635037,213.0,2026-04,False,15,Long
2026-04-15T10:00:00-04:00,2026-04-15T10:00:00-04:00,2026-04-15T16:21:00+00:00,1,26068.5,26241.0,3450.0,7.5,3442.5,limit,25982.25,1725.0,26241.0,2.0,1.9956521739130435,141.0,2026-04,False,15,Long
2026-04-16T11:10:00-04:00,2026-04-16T11:10:00-04:00,2026-04-16T15:50:00-04:00,1,26465.0,26484.0,380.0,12.5,367.5,force-flat window,26345.25,2395.0,26704.5,0.15866388308977036,0.1534446764091858,280.0,2026-04,False,15,Long
2026-04-17T10:00:00-04:00,2026-04-17T10:00:00-04:00,2026-04-17T15:50:00-04:00,1,26731.25,26811.5,1605.0,12.5,1592.5,force-flat window,26629.5,2035.0,26934.75,0.7886977886977887,0.7825552825552825,350.0,2026-04,False,15,Long
2026-04-21T10:00:00-04:00,2026-04-21T10:00:00-04:00,2026-04-21T15:01:00+00:00,1,26838.5,26726.75,-2235.0,12.5,-2247.5,stop,26726.75,2235.0,27062.0,-1.0,-1.005592841163311,61.0,2026-04,False,15,Long
2026-04-22T10:15:00-04:00,2026-04-22T10:15:00-04:00,2026-04-22T15:50:00-04:00,1,26922.25,27063.5,2825.0,12.5,2812.5,force-flat window,26813.5,2175.0,27139.75,1.2988505747126438,1.293103448275862,335.0,2026-04,False,15,Long
2026-04-23T09:50:00-04:00,2026-04-23T09:50:00-04:00,2026-04-23T13:10:00-04:00,1,27080.0,26965.0,-2300.0,12.5,-2312.5,stop,26965.0,2300.0,27310.0,-1.0,-1.0054347826086956,200.0,2026-04,False,15,Long
2026-04-24T10:50:00-04:00,2026-04-24T10:50:00-04:00,2026-04-24T13:55:00-04:00,1,27262.0,27433.5,3430.0,7.5,3422.5,limit,27176.25,1715.0,27433.5,2.0,1.9956268221574345,185.0,2026-04,False,15,Long
2026-04-27T13:35:00-04:00,2026-04-27T13:35:00-04:00,2026-04-27T15:50:00-04:00,1,27438.0,27444.0,120.0,12.5,107.5,force-flat window,27353.5,1690.0,27607.0,0.07100591715976332,0.06360946745562131,135.0,2026-04,False,15,Long
2026-04-29T09:55:00-04:00,2026-04-29T09:55:00-04:00,2026-04-29T15:50:00-04:00,1,27226.25,27281.5,1105.0,12.5,1092.5,force-flat window,27124.25,2040.0,27430.25,0.5416666666666666,0.5355392156862745,355.0,2026-04,False,15,Long
2026-05-04T10:00:00-04:00,2026-05-04T10:00:00-04:00,2026-05-04T11:20:00-04:00,1,27896.0,27808.25,-1755.0,12.5,-1767.5,stop,27808.25,1755.0,28071.5,-1.0,-1.0071225071225072,80.0,2026-05,False,15,Long
2026-05-05T10:00:00-04:00,2026-05-05T10:00:00-04:00,2026-05-05T15:50:00-04:00,1,28085.25,28148.75,1270.0,12.5,1257.5,force-flat window,27971.0,2285.0,28313.75,0.5557986870897156,0.550328227571116,350.0,2026-05,False,15,Long
2026-05-07T09:55:00-04:00,2026-05-07T09:55:00-04:00,2026-05-07T14:46:00+00:00,1,28785.75,28915.75,2600.0,7.5,2592.5,limit,28720.75,1300.0,28915.75,2.0,1.9942307692307693,51.0,2026-05,False,15,Long
2026-05-21T09:55:00-04:00,2026-05-21T09:55:00-04:00,2026-05-21T14:21:00+00:00,1,29294.5,29174.0,-2410.0,12.5,-2422.5,stop,29174.0,2410.0,29535.5,-1.0,-1.0051867219917012,26.0,2026-05,False,15,Long
2026-05-25T09:50:00-04:00,2026-05-25T09:50:00-04:00,2026-05-25T14:31:00+00:00,1,29980.75,29939.75,-820.0,12.5,-832.5,stop,29939.75,820.0,30062.75,-1.0,-1.0152439024390243,41.0,2026-05,False,0,Long
2026-05-29T09:50:00-04:00,2026-05-29T09:50:00-04:00,2026-05-29T14:27:00+00:00,1,30486.0,30364.75,-2425.0,12.5,-2437.5,stop,30364.75,2425.0,30728.5,-1.0,-1.0051546391752577,37.0,2026-05,False,15,Long
