variable,level,universe,split,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
BOS,yes,All trades,Overall,2066,0.2947725072604066,-3.3868586640851888,-6.227535734367971,-0.5531454898697317,-0.028206033573770207,-13994.5,0.8910866046135167,-15854.0,-0.6457135957197758,-0.9569504677380638,-0.11116400183997169,2357.601625997278,0.4157303370786517
BOS,yes,All trades,Train 2019–22,1008,0.27976190476190477,-4.4875992063492065,-8.454870063982632,-0.39207111690627616,-0.1081773401520941,-9047.0,0.8439984136016416,-9727.0,-1.112386202485573,-1.6061717681260472,-0.24633952287910674,2126.155245253483,0.4090909090909091
BOS,yes,All trades,Validation 2023–24,527,0.27893738140417457,-1.3149905123339658,-6.785376447876447,4.036131304002821,0.059479058836572216,-1386.0,0.9524911306493907,-4671.5,-0.20415015526882196,-0.32145634706773013,-0.1081734686001938,2130.6156572284895,0.4166666666666667
BOS,yes,All trades,Holdout 2025–26,531,0.3389830508474576,-3.353578154425612,-9.800116413093592,2.424991699835427,0.03657933993037296,-3561.5,0.9138183446056309,-5725.0,-0.3254226402260832,-0.48029620218569385,-0.2525020308260817,3009.7948221854103,0.42857142857142855
BOS,yes,1h,Overall,1434,0.2914923291492329,-0.699442119944212,-3.0639162223057204,1.6229616764062325,-0.0005366356236547352,-2006.0,0.9724662347644669,-3452.5,-0.0933504450675391,-0.15150525828215583,-0.042510895328389024,1568.3644936566277,0.4606741573033708
BOS,yes,1h,Train 2019–22,683,0.2664714494875549,-1.941800878477306,-5.485538908962211,1.531713228018094,-0.09926270234460195,-2652.5,0.9167817029553869,-3324.5,-0.5641919428333065,-0.8735522101744027,-0.22024007151066277,1344.412687770033,0.38636363636363635
BOS,yes,1h,Validation 2023–24,361,0.27146814404432135,0.603185595567867,-4.712191497160384,5.541060354554084,0.06614622702074775,435.5,1.027691231639855,-2628.5,0.22224042067604544,0.37926190524670605,0.13201442174355182,1440.1924030903376,0.4583333333333333
BOS,yes,1h,Holdout 2025–26,390,0.35384615384615387,0.2705128205128205,-4.124016623556873,4.22277911584959,0.11063615964757008,211.0,1.0083547812314393,-2524.5,0.3039115335057771,0.5025558273174094,0.2818566851621743,2086.253871178794,0.6190476190476191
BOS,no,All trades,Overall,4409,0.2646858698117487,-2.3241664776593334,-4.530474574314835,-0.182236102784352,-0.006830201060273742,-20494.5,0.9176696259992769,-26498.0,-0.7031598824377898,-0.9994259462235188,-0.10098595804781417,3406.3162771376738,0.39325842696629215
BOS,no,All trades,Train 2019–22,2018,0.24727452923686818,-2.739098116947473,-5.646173488306833,0.4026761457738082,-0.0416674338761372,-11055.0,0.8923479920539088,-14476.0,-0.8329976061610246,-1.1964971393979766,-0.18721210970349675,3036.305967012973,0.3181818181818182
BOS,no,All trades,Validation 2023–24,1164,0.24484536082474226,-1.0547680412371134,-4.56422455864522,2.295868328483611,0.05358032027354027,-2455.5,0.9559148279143252,-7202.5,-0.3194738823958726,-0.4743848111570627,-0.14345790562829103,3022.9658006689447,0.5
BOS,no,All trades,Holdout 2025–26,1227,0.3121434392828036,-2.845965770171149,-7.790575147594524,1.3398741875546598,-0.006843494467076537,-6984.0,0.9228619710842841,-12112.0,-0.8561752670012818,-1.1790738080129781,-0.3597618339396036,4449.67063092904,0.42857142857142855
BOS,no,1h,Overall,3088,0.25323834196891193,-0.14953044041450778,-2.0539500982225345,1.9155065465703072,0.010446220780985864,-923.5,0.9932242562089585,-8542.5,0.016606153781845316,0.026620696755972704,0.004859456287240063,2196.187022885923,0.4606741573033708
BOS,no,1h,Train 2019–22,1414,0.22842998585572843,-1.4248585572842998,-4.073204846852278,1.4580327478499224,-0.05822136566941907,-4029.5,0.9285511640690107,-7559.0,-0.45641028245388066,-0.7220532596126221,-0.13175069607452525,1940.2768467522549,0.38636363636363635
BOS,no,1h,Validation 2023–24,812,0.22413793103448276,1.1613300492610839,-2.6398066928557484,4.860766390578553,0.09948949774619457,1886.0,1.0642677025829754,-4066.0,0.5234605126457209,0.8800536777202658,0.2721436475474099,2000.8096165508705,0.5416666666666666
BOS,no,1h,Holdout 2025–26,862,0.3213457076566125,0.7076566125290024,-3.386295659283026,4.479482882514581,0.03920820029969013,1220.0,1.0241335654375692,-3752.5,0.2960447817388939,0.4687449906920523,0.21493454818094848,2850.7190651204733,0.5238095238095238
Formation RVOL,<0.75,All trades,Overall,1411,0.221119773210489,-0.2781715095676825,-3.365278233034571,2.6144073483682906,-0.0005883454728580519,-785.0,0.9861587424732652,-6544.0,0.020483748446882173,0.03355792502234626,0.0049832019882851035,1526.556165126533,0.5168539325842697
Formation RVOL,<0.75,All trades,Train 2019–22,665,0.2,-2.7229323308270676,-7.18978719158386,1.6195119810744807,-0.10347517737707011,-3621.5,0.8529340101522843,-5664.5,-0.638399815979479,-1.0039227007822804,-0.1663794872690593,1406.1729046442354,0.4772727272727273
Formation RVOL,<0.75,All trades,Validation 2023–24,367,0.19618528610354224,0.4087193460490463,-4.578265501482214,5.793720998247179,0.02669230895744196,300.0,1.0245952039352326,-1618.0,0.24753256460447318,0.4165152374718609,0.21694568576446785,1359.3474424601388,0.5416666666666666
Formation RVOL,<0.75,All trades,Holdout 2025–26,379,0.28232189973614774,3.3463060686015833,-2.0429966037619867,8.166914076207743,0.1535217944753766,2536.5,1.1275135732957973,-2029.5,0.885586191841621,1.5021602034502703,0.9646499272131684,1916.0407395686045,0.5714285714285714
Formation RVOL,<0.75,1h,Overall,1068,0.20131086142322097,0.32092696629213485,-2.3953142857527925,3.084016007532953,-0.014193789523045952,685.5,1.0196694499440475,-3045.5,0.1151046829216483,0.21024579651783193,0.042447198136115444,1034.032157098994,0.449438202247191
Formation RVOL,<0.75,1h,Train 2019–22,487,0.17248459958932238,-1.641170431211499,-5.050605647182473,2.0340854423703245,-0.13839442082798895,-1598.5,0.8875760452931041,-2988.5,-0.49629386297093936,-0.8615339430098503,-0.15875749676976048,896.9605593701945,0.38636363636363635
Formation RVOL,<0.75,1h,Validation 2023–24,286,0.17482517482517482,0.3111888111888112,-3.8527498857105535,5.166124733475473,-0.0025969362516644005,178.0,1.0230824093885755,-981.0,0.16086769007127139,0.2983097125162332,0.16151302641619128,952.8070055649936,0.4583333333333333
Formation RVOL,<0.75,1h,Holdout 2025–26,295,0.2745762711864407,3.5694915254237287,-3.1074619308002887,9.96011281199269,0.17959945593421542,2106.0,1.1629904806129556,-2286.5,0.9671131583522506,1.8451556527295023,0.57895090525184,1355.6162622960355,0.5714285714285714
Formation RVOL,0.75–1.25,All trades,Overall,3059,0.28832951945080093,-1.3430859758090878,-3.9043146368478836,1.2212334320229143,0.011393814713451522,-8217.0,0.9547763584429022,-13158.5,-0.27812483340757677,-0.4168550952560021,-0.0734961614527585,2985.4323824286,0.4157303370786517
Formation RVOL,0.75–1.25,All trades,Train 2019–22,1350,0.2696296296296296,-2.523888888888889,-6.163840238329241,0.8865807895069109,-0.04743705922305127,-6814.5,0.9061938618890625,-9899.5,-0.6334823305073946,-0.9400803564302983,-0.16979615961127253,2469.282954058004,0.38636363636363635
Formation RVOL,0.75–1.25,All trades,Validation 2023–24,858,0.28088578088578087,0.6078088578088578,-4.236509665464744,5.674251633986914,0.10287949136206134,1043.0,1.0235876792256546,-3644.5,0.258094612947247,0.4049704717570746,0.21446789397982044,2679.45043966989,0.5
Formation RVOL,0.75–1.25,All trades,Holdout 2025–26,851,0.3254994124559342,-1.4368390129259694,-7.0854115421002835,3.482295081967209,0.012483085277225397,-2445.5,0.962280884405679,-7672.0,-0.2520337196014673,-0.372893659088851,-0.14333372487658536,4143.610311755765,0.38095238095238093
Formation RVOL,0.75–1.25,1h,Overall,2025,0.28,1.009753086419753,-1.5271015333959628,3.5573714263371223,0.0477111257654677,4089.5,1.0444283898443187,-4163.5,0.3239804131990107,0.5523759494944313,0.13971723892123084,1814.9245326099717,0.4943820224719101
Formation RVOL,0.75–1.25,1h,Train 2019–22,907,0.25689084895259096,-0.6323042998897465,-4.153684710910682,2.79075654792346,-0.04949815695229793,-1147.0,0.9698161866291233,-3443.5,-0.16199021323207155,-0.264127503177276,-0.08142031649067501,1609.4049646668732,0.4318181818181818
Formation RVOL,0.75–1.25,1h,Validation 2023–24,552,0.26268115942028986,3.423460144927536,-1.3589558279370952,7.961813320230917,0.18404466951909856,3779.5,1.184226560405547,-2895.0,1.113030935904742,2.071949123906269,0.7392155450658949,1749.0296766536987,0.5416666666666666
Formation RVOL,0.75–1.25,1h,Holdout 2025–26,566,0.3339222614840989,1.2871024734982333,-4.157943650948933,5.626870634802535,0.07052508914534258,1457.0,1.0434523276967582,-4163.5,0.3624692747527562,0.6145105659159983,0.19477743229146416,2261.4905066305732,0.5714285714285714
Formation RVOL,≥1.25,All trades,Overall,1967,0.2907981698017285,-6.550965937976614,-9.62652628708053,-3.5129383643411534,-0.076972194728194,-25771.5,0.8129008838956749,-26858.5,-1.2728785133062874,-1.7252647945868673,-0.12191392288993422,2479.3605453302876,0.3595505617977528
Formation RVOL,≥1.25,All trades,Train 2019–22,973,0.2816032887975334,-5.113309352517986,-9.156631172183145,-0.34698174396338,-0.09174653543107994,-9950.5,0.8398889738123014,-11196.0,-1.0520496301815827,-1.4615177175152159,-0.21658095172415354,2383.4103417284623,0.4090909090909091
Formation RVOL,≥1.25,All trades,Validation 2023–24,466,0.2553648068669528,-5.562768240343348,-11.078946215049896,0.5300036188242188,-0.009342755731234739,-5184.5,0.8178128404259057,-6858.5,-1.2369502137691533,-1.7333763842313161,-0.36331467773966414,1963.5055587960178,0.2916666666666667
Formation RVOL,≥1.25,All trades,Holdout 2025–26,528,0.3390151515151515,-10.072443181818182,-15.97237045637524,-4.086149830447109,-0.10943409826735115,-10636.5,0.7743540243540243,-11252.5,-1.7287619198138486,-2.244508653887627,-0.5413223596712228,3147.7110631757305,0.3333333333333333
Formation RVOL,≥1.25,1h,Overall,1402,0.29457917261055633,-2.679029957203994,-5.991916212647052,0.5012491776688897,-0.0535297156620622,-7512.0,0.9076928748287366,-8521.5,-0.4576114069185833,-0.6863159529714928,-0.10298093145085158,1729.883495241493,0.3258426966292135
Formation RVOL,≥1.25,1h,Train 2019–22,676,0.27071005917159763,-2.769230769230769,-6.129020467836257,0.8494821631857778,-0.09306141810661613,-3744.0,0.8935743828081695,-4787.0,-0.5603425997769887,-0.8635528951117449,-0.17499692843300524,1583.6908070829356,0.3409090909090909
Formation RVOL,≥1.25,1h,Validation 2023–24,335,0.2537313432835821,-2.4417910447761195,-9.55562938353636,4.80460042453958,0.011386048709950802,-1636.0,0.9028849578534964,-4245.5,-0.5171057646022934,-0.7937382671200309,-0.18113146418507894,1416.7047769424591,0.2916666666666667
Formation RVOL,≥1.25,1h,Holdout 2025–26,391,0.37084398976982097,-2.7263427109974425,-10.950397629671528,4.620554817224396,-0.04080171108944305,-2132.0,0.9273718276273207,-5360.5,-0.2850706093219164,-0.4127193898323443,-0.13837372168237694,2289.881912377234,0.3333333333333333
Formation RVOL,unavailable,All trades,Overall,38,0.2631578947368421,3.7434210526315788,2.9921875,7.75,0.7629674064725225,284.5,1.2243690851735016,-269.0,0.18485881658293557,0.32495117543098184,0.15013098296907296,202.6285840360694,0.02247191011235955
Formation RVOL,unavailable,All trades,Train 2019–22,38,0.2631578947368421,3.7434210526315788,2.9921875,7.75,0.7629674064725225,284.5,1.2243690851735016,-269.0,0.2616525791503357,0.4600313122922974,0.3008907868092205,286.91577034204147,0.045454545454545456
Formation RVOL,unavailable,All trades,Validation 2023–24,0,,,,,,0.0,,0.0,,,,0.0,0.0
Formation RVOL,unavailable,All trades,Holdout 2025–26,0,,,,,,0.0,,0.0,,,,0.0,0.0
Formation RVOL,unavailable,1h,Overall,27,0.18518518518518517,-3.564814814814815,-23.125,-2.0,0.9289256733746544,-192.5,0.7793696275071633,-497.5,-0.18500825590263764,-0.2646003323382261,-0.05094437705770231,136.99295451736413,0.0
Formation RVOL,unavailable,1h,Train 2019–22,27,0.18518518518518517,-3.564814814814815,-23.125,-2.0,0.9289256733746544,-192.5,0.7793696275071633,-497.5,-0.261864127177619,-0.37459300757133557,-0.10210213370517508,193.97773977598115,0.0
Formation RVOL,unavailable,1h,Validation 2023–24,0,,,,,,0.0,,0.0,,,,0.0,0.0
Formation RVOL,unavailable,1h,Holdout 2025–26,0,,,,,,0.0,,0.0,,,,0.0,0.0
Prior 5m RVOL,<0.75,All trades,Overall,1879,0.24215007982969664,-0.9084619478445982,-3.5460553650825135,1.7696731116136204,0.047943883874160494,-3414.0,0.9598374203718627,-5617.0,-0.2217763815508142,-0.35389154679692236,-0.08132477744878787,1903.891846198969,0.5056179775280899
Prior 5m RVOL,<0.75,All trades,Train 2019–22,917,0.22464558342420937,-1.2758996728462377,-4.691433277344575,2.253715900711458,-0.013649435592981379,-2340.0,0.9369025629963194,-3242.5,-0.2895212875944481,-0.4630504107305586,-0.17576653990498217,1783.6411910553422,0.4772727272727273
Prior 5m RVOL,<0.75,All trades,Validation 2023–24,496,0.23588709677419356,-0.2746975806451613,-5.913359777849337,5.532126692670002,0.15269330264481004,-272.5,0.9868108997628382,-2591.5,-0.0714878054676801,-0.11576731766378684,-0.04875871536677239,1738.9027962788339,0.5416666666666666
Prior 5m RVOL,<0.75,All trades,Holdout 2025–26,466,0.2832618025751073,-0.8599785407725322,-6.365718812469842,4.760666963972394,0.05765496164481912,-801.5,0.9705957883923986,-3008.5,-0.24792193581981936,-0.3912648249812727,-0.2043320585897322,2308.5254405475093,0.5238095238095238
